Varsham,Masam,start_ccyy,end_ccyy,Start date,Start hours,Start mins,End date,End hours,End mins
SBK,MGS,2022,2023,20221124,4,27,20221223,15,46
SBK,PAU,2022,2023,20221223,15,46,20230122,2,23
SBK,MAG,2022,2023,20230122,2,23,20230220,12,35
SBK,PHA,2022,2023,20230220,12,35,20230321,22,53
SHB,CHA,2023,2024,20230321,22,53,20230420,9,42
SHB,VAI,2023,2024,20230420,9,42,20230519,21,23
SHB,JYE,2023,2024,20230519,21,23,20230618,10,7
SHB,AAS,2023,2024,20230618,10,7,20230718,0,1
SHB,SH1,2023,2024,20230718,0,1,20230816,15,8
SHB,SHR,2023,2024,20230816,15,8,20230915,7,9
SHB,BHA,2023,2024,20230915,7,9,20231014,23,25
SHB,ASV,2023,2024,20231014,23,25,20231113,14,57
SHB,KAR,2023,2024,20231113,14,57,20231213,5,2
SHB,MGS,2023,2024,20231213,5,2,20240111,17,27
SHB,PAU,2023,2024,20240111,17,27,20240210,4,29
SHB,MAG,2023,2024,20240210,4,29,20240310,14,30
SHB,PHA,2023,2024,20240310,14,30,20240408,23,50
KRD,CHA,2024,2025,20240408,23,50,20240508,8,51
KRD,VAI,2024,2025,20240508,8,51,20240606,18,7
KRD,JYE,2024,2025,20240606,18,7,20240706,4,27
KRD,AAS,2024,2025,20240706,4,27,20240804,16,43
KRD,SHR,2024,2025,20240804,16,43,20240903,7,25
KRD,BHA,2024,2025,20240903,7,25,20241003,0,19
KRD,ASV,2024,2025,20241003,0,19,20241101,18,17
KRD,KAR,2024,2025,20241101,18,17,20241201,11,51
KRD,MGS,2024,2025,20241201,11,51,20241231,3,56
KRD,PAU,2024,2025,20241231,3,56,20250129,18,5
KRD,MAG,2024,2025,20250129,18,5,20250228,6,14
KRD,PHA,2024,2025,20250228,6,14,20250329,16,27
VWV,CHA,2025,2026,20250329,16,27,20250428,1,1
VWV,VAI,2025,2026,20250428,1,1,20250527,8,32
VWV,JYE,2025,2026,20250527,8,32,20250625,16,1
VWV,AAS,2025,2026,20250625,16,1,20250725,0,41
VWV,SHR,2025,2026,20250725,0,41,20250823,11,36
VWV,BHA,2025,2026,20250823,11,36,20250922,1,24
VWV,ASV,2025,2026,20250922,1,24,20251021,17,55
VWV,KAR,2025,2026,20251021,17,55,20251120,12,17
VWV,MGS,2025,2026,20251120,12,17,20251220,7,13
VWV,PAU,2025,2026,20251220,7,13,20260119,1,22
VWV,MAG,2025,2026,20260119,1,22,20260217,17,31
VWV,PHA,2025,2026,20260217,17,31,20260319,6,53
PAR,CHA,2026,2027,20260319,6,53,20260417,17,21
PAR,VAI,2026,2027,20260417,17,21,20260517,1,31
PAR,JY1,2026,2027,20260517,1,31,20260615,8,24
PAR,JYE,2026,2027,20260615,8,24,20260714,15,13
PAR,AAS,2026,2027,20260714,15,13,20260812,23,6
PAR,SHR,2026,2027,20260812,23,6,20260911,8,57
PAR,BHA,2026,2027,20260911,8,57,20261010,21,20
PAR,ASV,2026,2027,20261010,21,20,20261109,12,32
PAR,KAR,2026,2027,20261109,12,32,20261209,6,21
PAR,MGS,2026,2027,20261209,6,21,20270108,1,54
PAR,PAU,2026,2027,20270108,1,54,20270206,21,26
PAR,MAG,2026,2027,20270206,21,26,20270308,14,59
PAR,PHA,2026,2027,20270308,14,59,20270407,5,21
PVG,CHA,2027,2028,20270407,5,21,20270506,16,28
PVG,VAI,2027,2028,20270506,16,28,20270605,1,10
PVG,JYE,2027,2028,20270605,1,10,20270704,8,32
PVG,AAS,2027,2028,20270704,8,32,20270802,15,35
PVG,SHR,2027,2028,20270802,15,35,20270831,23,11
PVG,BHA,2027,2028,20270831,23,11,20270930,8,6
PVG,ASV,2027,2028,20270930,8,6,20271029,19,6
PVG,KAR,2027,2028,20271029,19,6,20271128,8,54
PVG,MGS,2027,2028,20271128,8,54,20271228,1,42
