id,english,sanskrit,tamil,telugu,kannada
CHA,Chaitra,चैत्र,சித்திரை,చైత్రం,ಚೈತ್ರ
VAI,Vaishaakha,वैशाख,வைகாசி,వైశాఖం,ವೈಶಾಖ
JYE,Jyeshta,ज्येष्ठ,ஆனி,జ్యేష్ఠం,ಜ್ಯೇಷ್ಠ
AAS,Aashaada,आषाढ,ஆடி,ఆషాఢం,ಆಷಾಢ
SHR,Shraavan,श्रावण,ஆவணி,శ్రావణం,ಶ್ರಾವಣ
BHA,Bhaadrapada,भाद्रपद,புரட்டாசி,భాద్రపదం,ಭಾದ್ರಪದ
ASV,Aashvayuja,आश्वयुज,ஐப்பசி,ఆశ్వయుజం,ಆಶ್ವಯುಜ
KAR,Kaarthik,कार्तिक,கார்த்திகை,కార్తీకం,ಕಾರ್ತಿಕ
MGS,Maargasheersha,मार्गशीर्ष,மார்கழி,మార్గశిరం,ಮಾರ್ಗಶಿರ
PAU,Pausha,पौष,தை,పౌషం,ಪೌಷ
MAG,Maagha,माघ,மாசி,మాఘం,ಮಾಘ
PHA,Phaalguna,फाल्गुन,பங்குனி,ఫాల్గుణం,ಫಾಲ್ಗುಣ
CH1,Adhika Chaitra,अधिक चैत्र,அதிக சித்திரை,అధిక చైత్రం,ಅಧಿಕ ಚೈತ್ರ
VA1,Adhika Vaishaakha,अधिक वैशाख,அதிக வைகாசி,అధిక వైశాఖం,ಅಧಿಕ ವೈಶಾಖ
JY1,Adhika Jyeshta,अधिक ज्येष्ठ,அதிக ஆனி,అధిక జ్యేష్ఠం,ಅಧಿಕ ಜ್ಯೇಷ್ಠ
AA1,Adhika Aashaada,अधिक आषाढ,அதிக ஆடி,అధిక ఆషాఢం,ಅಧಿಕ ಆಷಾಢ
SH1,Adhika Shraavan,अधिक श्रावण,அதிக ஆவணி,అధిక శ్రావణం,ಅಧಿಕ ಶ್ರಾವಣ
BH1,Adhika Bhaadrapada,अधिक भाद्रपद,அதிக புரட்டாசி,అధిక భాద్రపదం,ಅಧಿಕ ಭಾದ್ರಪದ
AS1,Adhika Aashvayuja,अधिक आश्वयुज,அதிக ஐப்பசி,అధిక ఆశ్వయుజం,ಅಧಿಕ ಆಶ್ವಯುಜ
KA1,Adhika Kaarthik,अधिक कार्तिक,அதிக கார்த்திகை,అధిక కార్తీకం,ಅಧಿಕ ಕಾರ್ತಿಕ
MG1,Adhika Maargasheersha,अधिक मार्गशीर्ष,அதிக மார்கழி,అధిక మార్గశిరం,ಅಧಿಕ ಮಾರ್ಗಶಿರ
PA1,Adhika Pausha,अधिक पौष,அதிக தை,అధిక పౌషం,ಅಧಿಕ ಪೌಷ
MA1,Adhika Maagha,अधिक माघ,அதிக மாசி,అధిక మాఘం,ಅಧಿಕ ಮಾಘ
PH1,Adhika Phaalguna,अधिक फाल्गुन,அதிக பங்குனி,అధిక ఫాల్గుణం,ಅಧಿಕ ಫಾಲ್ಗುಣ
