id,english,sanskrit,tamil,telugu,kannada
PBV,Prabhava,प्रभव,பிரபவ,ప్రభవ,ಪ್ರಭವ
VBV,Vibhava,विभव,விபவ,విభవ,ವಿಭವ
SHU,Shukla,शुक्ल,சுக்ல,శుక్ల,ಶುಕ್ಲ
PMD,Pramodootha,प्रमोदूत,பிரமோதூத,ప్రమోదూత,ಪ್ರಮೋದೂತ
PJP,Prajotpatthi,प्रजोत्पत्ति,ப்ரஜோத்பத்தி,ప్రజోత్పత్తి,ಪ್ರಜೋತ್ಪತ್ತಿ
AAN,Angirasa,आङ्गिरस,ஆங்கிரச,ఆంగీరస,ಆಂಗೀರಸ
SMK,Shrimukha,श्रीमुख,ஸ்ரீமுக,శ్రీముఖ,ಶ್ರೀಮುಖ
BHV,Bhaava,भाव,பவ,భవ,ಭವ
YUV,Yuvan,युव,யுவ,యువ,ಯುವ
DHT,Dhaathu,धात,தாத,ధాత,ಧಾತ
EAS,Eashwara,ईश्वर,ஈஸ்வர,ఈశ్వర,ಈಶ್ವರ
BDY,Bahudhaanya,बहुधान्य,பஹுதான்ய,బహుధాన్య,ಬಹುಧಾನ್ಯ
PMA,Pramaathin,प्रमाथी,ப்ரமாதி,ప్రమాది,ಪ್ರಮಾದಿ
VKM,Vikrama,विक्रम,விக்ரம,విక్రమ,ವಿಕ್ರಮ
VSH,Vrushan,वृष,வ்ருஷ,వృష,ವೃಷ
CBH,Chitrabhaanu,चित्रभानु,சித்திரபானு,చిత్రభాను,ಚಿತ್ರಭಾನು
SBH,Subhaanu,स्वभानु,ஸ்வபானு,స్వభాను,ಸ್ವಭಾನು
DHA,Taarana,तारण,தாரண,తారణ,ತಾರಣ
PAA,Paarthiva,पार्थिव,பார்த்திவ,పార్థివ,ಪಾರ್ಥಿವ
VIY,Vyaya,व्यय,வ்யய,వ్యయ,ವ್ಯಯ
SVJ,Sarvajit,सर्वजित्,சர்வஜித்,సర్వజిత్,ಸರ್ವಜಿತ್
SVD,Sarvadhaarin,सर्वधारी,சர்வதாரி,సర్వధారి,ಸರ್ವಧಾರಿ
VRD,Virodhin,विरोधी,விரோதி,విరోధి,ವಿರೋಧಿ
VKT,Vikruthi,विकृति,விக்ருதி,వికృతి,ವಿಕೃತಿ
KAR,Khara,खर,கர,ఖర,ಖರ
NAN,Nandana,नन्दन,நந்தன,నందన,ನಂದನ
VIJ,Vijaya,विजय,விஜய,విజయ,ವಿಜಯ
JAY,Jaya,जय,ஜய,జయ,ಜಯ
MAN,Manmatha,मन्मथ,மன்மத,మన్మథ,ಮನ್ಮಥ
DRM,Durmukha,दुर्मुखी,துர்முகி,దుర్ముఖి,ದುರ್ಮುಖಿ
HEY,Heyvilambin,हेविलम्बि,ஹேவிளம்பி,హేవిళంబి,ಹೇವಿಳಂಬಿ
VIL,Vilambi,विलम्बि,விளம்பி,విళంబి,ವಿಳಂಬಿ
VKR,Vikaarin,विकारी,விகாரி,వికారి,ವಿಕಾರಿ
SHA,Shaarvarin,शार्वरी,சார்வரி,శార్వరి,ಶಾರ್ವರಿ
PLA,Plava,प्लव,ப்லவ,ప్లవ,ಪ್ಲವ
SBK,Shubhakruth,शुभकृत्,சுபக்ரித்,శుభకృత్,ಶುಭಕೃತ್
SHB,Shobhakruth,शोभकृत्,சோபக்ரித்,శోభకృత్,ಶೋಭಕೃತ್
KRD,Krodhin,क्रोधी,க்ரோதீ,క్రోధి,ಕ್ರೋಧಿ
VWV,Vishwaavasu,विश्ववासु,விஷ்வவாசு,విశ్వవాసు,ವಿಶ್ವವಾಸು
PAR,Paraabhava,पराभव,பராபவ,పరాభవ,ಪರಾಭವ
PVG,Plavanga,प्लवङ्ग,ப்லவங்க,ప్లవంగ,ಪ್ಲವಂಗ
KLK,Keelaka,कीलक,கீலக,కీలక,ಕೀಲಕ
SOW,Sowmya,सौम्य,சௌம்ய,సౌమ్య,ಸೌಮ್ಯ
SAD,Saadhaarana,साधारण,சாதாரண,సాధారణ,ಸಾಧಾರಣ
VDK,Virodhikruth,विरोधिकृत्,விரோதிக்ரித்,విరోధికృత్,ವಿರೋಧಿಕೃತ್
PTP,Paridhaavin,परिधावि,பரிதாவி,పరిధావి,ಪರಿಧாவி
PMC,Pramaadhin,प्रमादीच,ப்ரமாதீச,ప్రమాదీచ,ಪ್ರಮಾದೀಚ
ANA,Aananda,आनन्द,ஆனந்த,ఆనంద,ಆನಂದ
RAK,Raakshasa,राक्षस,ராக்ஷச,రాక్షస,ರಾಕ್ಷಸ
NAL,Anala,नल,நள,నల,ನಳ
PIN,Pingala,पिङ्गल,பிங்கல,పింగళ,ಪಿಂಗಲ
KAA,Kaalayuktha,कलायुक्ति,கலாயுக்தி,కలాయుక్తి,ಕಲಾಯುಕ್ತಿ
SID,Siddhaarth,सिद्धार्थि,சித்தார்த்தி,సిద్ధార్థి,ಸಿದ್ಧಾರ್ಥಿ
RAU,Raudra,रौद्र,ரௌத்ர,రౌద్ర,ರೌದ್ರ
DHU,Durmathi,दुर्मति,துர்மதி,దుర్మతి,ದುರ್ಮತಿ
DHN,Dundubi,दुन्दुभि,துந்துபி,దుందుభి,ದುಂದುಭಿ
RUD,Rudhirodgaarin,रुधिरोद्गारि,ருதிரோத்காரி,రుధిరోద్గారి,ರುಧಿರೋದ್ಗಾರಿ
RKT,Raktaaksha,रक्ताक्षि,ரக்தாக்ஷி,రక్తాక్షి,ರಕ್ತಾಕ್ಷಿ
KRO,Krodhana,क्रोधन,க்ரோதன,క్రోధన,ಕ್ರೋಧನ
AKS,Akshaya,अक्षय,அக்ஷய,అక్షय,ಅಕ್ಷಯ
