id,english,sanskrit,tamil,telugu,kannada
1,Kimstughna,किंस्तुघ्न,கிம்ஸ்துக்ன,కింస్తుఘ్న,ಕಿಂಸ್ತುಘ್ನ
2,Bavaha,बव,பவ,బవ,ಬವ
3,Baalavaha,बालव,பாலவ,బాలవ,ಬಾಲವ
4,Kowlavaha,कौलव,கௌலவ,కౌలవ,ಕೌಲವ
5,Taithilaha,तैतिल,தைதில,తైతిల,ತೈತಿಲ
6,Garaja,गर,கர,గర,ಗರ
7,Vanijaha,वणिज,வணிக,వణిజ,ವಣಿಜ
8,Vishtihi/Bhadra,विष्टि,விஷ்டி,విష్టి,ವಿಷ್ಟಿ
9,Bavaha,बव,பவ,బవ,ಬವ
10,Baalavaha,बालव,பாலவ,బాలవ,ಬಾಲವ
11,Kowlavaha,कौलव,கௌலவ,కౌలవ,ಕೌಲವ
12,Taithilaha,तैतिल,தைதில,తైతిల,ತೈತಿಲ
13,Garaja,गर,கர,గర,ಗರ
14,Vanijaha,वणिज,வணிக,వణిజ,ವಣಿಜ
15,Vishtihi/Bhadra,विष्टि,விஷ்டி,విష్టి,ವಿಷ್ಟಿ
16,Bavaha,बव,பவ,బవ,ಬವ
17,Baalavaha,बालव,பாலவ,బాలవ,ಬಾಲವ
18,Kowlavaha,कौलव,கௌலவ,కౌలవ,ಕೌಲವ
19,Taithilaha,तैतिल,தைதில,తైతిల,ತೈತಿಲ
20,Garaja,गर,கர,గర,ಗರ
21,Vanijaha,वणिज,வணிக,వణిజ,ವಣಿಜ
22,Vishtihi/Bhadra,विष्टि,விஷ்டி,విష్టి,ವಿಷ್ಟಿ
23,Bavaha,बव,பவ,బవ,ಬವ
24,Baalavaha,बालव,பாலவ,బాలవ,ಬಾಲವ
25,Kowlavaha,कौलव,கௌலவ,కౌలవ,ಕೌಲವ
26,Taithilaha,तैतिल,தைதில,తైతిల,ತೈತಿಲ
27,Garaja,गर,கர,గర,ಗರ
28,Vanijaha,वणिज,வணிக,వణిజ,ವಣಿಜ
29,Vishtihi/Bhadra,विष्टि,விஷ்டி,విష్టి,ವಿಷ್ಟಿ
30,Bavaha,बव,பவ,బవ,ಬವ
31,Baalavaha,बालव,பாலவ,బాలవ,ಬಾಲವ
32,Kowlavaha,कौलव,கௌலவ,కౌలవ,ಕೌಲವ
33,Taithilaha,तैतिल,தைதில,తైతిల,ತೈತಿಲ
34,Garaja,गर,கர,గర,ಗರ
35,Vanijaha,वणिज,வணிக,వణిజ,ವಣಿಜ
36,Vishtihi/Bhadra,विष्टि,விஷ்டி,విష్టి,ವಿಷ್ಟಿ
37,Bavaha,बव,பவ,బవ,ಬವ
38,Baalavaha,बालव,பாலவ,బాలవ,ಬಾಲವ
39,Kowlavaha,कौलव,கௌலவ,కౌలవ,ಕೌಲವ
40,Taithilaha,तैतिल,தைதில,తైతిల,ತೈತಿಲ
41,Garaja,गर,கர,గర,ಗರ
42,Vanijaha,वणिज,வணிக,వణిజ,ವಣಿಜ
43,Vishtihi/Bhadra,विष्टि,விஷ்டி,విష్టి,ವಿಷ್ಟಿ
44,Bavaha,बव,பவ,బవ,ಬವ
45,Baalavaha,बालव,பாலவ,బాలవ,ಬಾಲವ
46,Kowlavaha,कौलव,கௌலவ,కౌలవ,ಕೌಲವ
47,Taithilaha,तैतिल,தைதில,తైతిల,ತೈತಿಲ
48,Garaja,गर,கர,గర,ಗರ
49,Vanijaha,वणिज,வணிக,వణిజ,ವಣಿಜ
50,Vishtihi/Bhadra,विष्टि,விஷ்டி,విష్టి,ವಿಷ್ಟಿ
51,Bavaha,बव,பவ,బవ,ಬವ
52,Baalavaha,बालव,பாலவ,బాలవ,ಬಾಲವ
53,Kowlavaha,कौलव,கௌலவ,కౌలవ,ಕೌಲವ
54,Taithilaha,तैतिल,தைதில,తైతిల,ತೈತಿಲ
55,Garaja,गर,கர,గర,ಗರ
56,Vanijaha,वणिज,வணிக,వణిజ,ವಣಿಜ
57,Vishtihi/Bhadra,विष्टि,விஷ்டி,విష్టి,ವಿಷ್ಟಿ
58,Shakuni,शकुनि,சகுனி,శకుని,ಶಕುನಿ
59,Chathushpaath,चतुष्पाद,சதுஷ்பாத,చతుష్పాద,ಚತುಷ್ಪಾದ
60,Naaga,नाग,நாக,నాగ,ನಾಗ
