id,english,sanskrit,tamil,telugu,kannada
KRU,Krutthika,कृत्तिका,கிருத்திகை,కృత్తిక,ಕೃತ್ತಿಕಾ
ROH,Rohini,रोहिणी,ரோகிணி,రోహిణి,ರೋಹಿಣಿ
MRU,Mrugasheersham,मृगशीर्ष,மிருகசீரிடம்,మృగశిర,ಮೃಗಶಿರ
AAR,Aardra,आर्द्रा,திருவாதிரை,ఆర్ద్ర,ಆರ್ದ್ರ
PUN,Punarvasu,पुनर्वसु,புனர்பூசம்,పునర్వసు,ಪುನರ್ವಸು
PUS,Pushya,पुष्य,பூசம்,పుష్యమి,ಪುಷ್ಯ
ASR,Ashresha,आश्लेषा,ஆயில்யம்,ఆశ్లేష,ಆಶ್ಲೇಷಾ
MAG,Magha,मघा,மகம்,మఘ,ಮಘಾ
PPH,Poorvaphalguni,पूर्वफल्गुनी,பூரம்,పూర్వ ఫల్గుని,ಪೂರ್ವ ಫಲ್ಗುಣಿ
UPH,Uttaraphalguni,उत्तरफल्गुनी,உத்திரம்,ఉత్తర ఫల్గుని,ಉತ್ತರ ಫಲ್ಗುಣಿ
HAS,Hasta,हस्त,ஹஸ்தம்,హస్త,ಹಸ್ತ
CHI,Chitra,चित्रा,சித்திரை,చిత్ర,ಚಿತ್ರಾ
SWA,Swaathi,स्वाती,சுவாதி,స్వాతి,ಸ್ವಾತಿ
VIS,Vishaakha,विशाखा,விசாகம்,విశాఖ,ವಿಶಾಖಾ
ANU,Anuradha,अनुराधा,அனுஷம்,అనూరాధ,ಅನುರಾಧಾ
JYE,Jyeshtaa,ज्येष्ठा,கேட்டை,జ్యేష్ఠ,ಜ್ಯೇಷ್ಠಾ
MUL,Mula,मूल,மூலம்,మూల,ಮೂಲ
PVS,Poorvaashada,पूर्वाषाढा,பூராடம்,పూర్వాషాఢ,ಪೂರ್ವಾಷಾಢಾ
UAS,Uttaraashada,उत्तराषाढा,உத்திராடம்,ఉత్తరాషాఢ,ಉತ್ತರಾಷಾಢಾ
SHR,Shravana,श्रवण,திருவோணம்,శ్రవణం,ಶ್ರವಣ
SVT,Shravishta,धनिष्ठा,அவிட்டம்,ధనిష్ఠ,ಧನಿಷ್ಠಾ
STB,Shatabhishak,शतभिषा,சதயம்,శతభిషం,ಶತಭಿಷಾ
PPP,Poorvaproshtapada,पूर्वभाद्रपदा,பூரட்டாதி,పూర్వ భాద్రపద,ಪೂರ್ವ ಭಾದ್ರಪದ
UPP,Uttaraproshtapada,उत्तरभाद्रपदा,உத்திரட்டாதி,ఉత్తర భాద్రపద,ಉತ್ತರ ಭಾದ್ರಪದ
REV,Revathi,रेवती,ரேவதி,రేవతి,ರೇವತಿ
ASH,Ashwini,अश्विनी,அஸ்வினி,అశ్విని,ಅಶ್ವಿನಿ
BHA,Apabharani,भरणी,பரணி,భరణి,ಭರಣಿ
