Varsham,Masam,start_ccyy,end_ccyy,Start date,End date,Start hours,Start mins,End hours,End mins
VWV,MES,2025,2026,20250413,20250514,21,36,18,25
VWV,VRU,2025,2026,20250514,20250615,18,25,0,54
VWV,MIT,2025,2026,20250615,20250716,0,54,11,38
VWV,KTK,2025,2026,20250716,20250816,11,38,19,54
VWV,SIM,2025,2026,20250816,20250916,19,54,19,46
VWV,KNY,2025,2026,20250916,20251017,19,46,7,44
VWV,TUL,2025,2026,20251017,20251116,7,44,7,37
VWV,VCH,2025,2026,20251116,20251215,7,37,22,23
VWV,DHA,2025,2026,20251215,20260114,22,23,9,14
VWV,MAK,2025,2026,20260114,20260212,9,14,22,20
VWV,KUM,2025,2026,20260212,20260314,22,20,19,17
VWV,MNM,2025,2026,20260314,20260414,19,17,3,47
PAR,MES,2026,2027,20260414,20260515,3,47,0,35
PAR,VRU,2026,2027,20260515,20260615,0,35,7,3
PAR,MIT,2026,2027,20260615,20260716,7,3,17,45
PAR,KTK,2026,2027,20260716,20260817,17,45,2,0
PAR,SIM,2026,2027,20260817,20260917,2,0,1,51
PAR,KNY,2026,2027,20260917,20261017,1,51,13,50
PAR,TUL,2026,2027,20261017,20261116,13,50,13,43
PAR,VCH,2026,2027,20261116,20261216,13,43,4,28
PAR,DHA,2026,2027,20261216,20270114,4,28,15,17
PAR,MAK,2026,2027,20270114,20270213,15,17,4,20
PAR,KUM,2026,2027,20270213,20270315,4,20,1,14
PAR,MNM,2026,2027,20270315,20270414,1,14,9,43
