id,english,sanskrit,tamil,telugu,kannada
PRA,Prathama,प्रथमा,பிரதமை,ప్రథమ,ಪ್ರಥಮೆ
DWI,Dwitheeya,द्वितीया,த்விதியை,ద్వితీయ,ದ್ವಿತೀಯೆ
TRU,Trutheeya,तृतीया,திருதியை,తృతీయ,ತೃತೀಯೆ
CHA,Chathurthi,चतुर्थी,சதுர்த்தி,చతుర్థి,ಚತುರ್ಥಿ
PAN,Panchami,पञ्चमी,பஞ்சமி,పంచమి,ಪಂಚಮಿ
SHA,Shashti,षष्ठी,ஷஷ்டி,షష్ఠి,ಷಷ್ಠಿ
SAP,Sapthami,सप्तमी,சப்தமி,సప్తమి,ಸಪ್ತಮಿ
ASH,Ashtami,अष्टमी,அஷ்டமி,అష్టమి,ಅಷ್ಟಮಿ
NAV,Navami,नवमी,நவமி,నవమి,ನವಮಿ
DAS,Dashami,दशमी,தசமி,దశమి,ದಶಮಿ
EKA,Ekadashi,एकादशी,ஏகாதசி,ఏకాదశి,ಏಕಾದಶಿ
DWA,Dwadashi,द्वादशी,த்வாதசி,ద్వాదశి,ದ್ವಾದಶಿ
TRY,Tryodashi,त्रयोदशी,திரயோதசி,త్రయోదశి,ತ್ರಯೋದಶಿ
CHD,Chathurdashi,चतुर्दशी,சதுர்த்தசி,చతుర్దశి,ಚತುರ್ಧಶಿ
POU,Pournamaasi,पूर्णिमा,பௌர்ணமி,పౌర్ణమి,ಪೌರ್ಣಮಿ
AMA,Amaavaasya,अमावास्या,அமாவாசை,అమావాస్య,ಅಮಾವಾಸ್ಯೆ
