id,english,sanskrit,tamil,telugu,kannada
VIS,Vishkambhaha,विष्कम्भ,விஷ்கம்ப,విష్కంభ,ವಿಷ್ಕಂಭ
PRE,Preethihi,प्रीति,ப்ரீதி,ప్రీతి,ಪ್ರೀತಿ
AYU,Aayushmaan,आयुष्मान्,ஆயுஷ்மான்,ఆయుష్మాన్,ಆಯುಷ್ಮಾನ್
SOW,Sowbhagyaha,सौभाग्य,சௌபாக்கியம்,సౌభాగ్యం,ಸೌಭಾಗ್ಯ
SHO,Shobhanaha,शोभन,சோபனம்,శోభన,ಶೋಭನ
ATH,Athigandaha,अतिगण्ड,அதிகண்டம்,అతిగండ,ಅತಿಗಂಡ
SUK,Sukarma,सुकर्मा,சுகர்மா,సుకర్మ,ಸುಕರ್ಮ
DHU,Dhruthihi,धृति,த்ருதி,ధృతి,ಧೃತಿ
SHL,Shoolaha,शूल,சூலம்,శూల,ಶೂಲ
GAN,Gandaha,गण्ड,கண்டம்,గండ,ಗಂಡ
VRU,Vruddhihi,वृद्धि,விருத்தி,వృద్ధి,ವೃದ್ಧಿ
DHR,Dhruvaha,ध्रुव,துருவம்,ధృవ,ಧ್ರುವ
VYA,Vyaaghaathaha,व्याघात,வியாகாதம்,వ్యాఘాత,ವ್ಯಾಘಾತ
HAR,Harshanaha,हर्षण,ஹர்ஷணம்,హర్షణ,ಹರ್ಷಣ
VAJ,Vajram,वज्र,வஜ்ரம்,వజ్ర,ವಜ್ರ
SDH,Siddhihi,सिद्धि,சித்தி,సిద్ధి,ಸಿದ್ಧಿ
VYT,Vyateepaath,व्यतीपात,வ்யதீபாதம்,వ్యతిపాత,ವ್ಯತೀಪಾತ
VAR,Vareeyaan,वरियन,வரியானம்,వరియాణ,ವರಿಯಾಣ
PAR,Parighaha,परिघ,பரிகம்,పరిఘ,ಪರಿಘ
SHI,Shivaha,शिव,சிவம்,శివ,ಶಿವ
SID,Siddhaha,सिद्ध,சித்த,సిద్ధ,ಸಿದ್ಧ
SDY,Saadhyaha,साध्य,சாத்தியம்,సాధ్య,ಸಾಧ್ಯ
SHB,Shubhaha,शुभ,சுபம்,శుభ,ಶುಭ
SHK,Shuklaha,शुक्ल,சுக்லம்,శుక్ల,ಶುಕ್ಲ
BRA,Braahmaha,ब्रह्म,பிரஹ்ம,బ్రహ్మ,ಬ್ರಹ್ಮ
IND,Indraha/Mahendraha,इन्द्र,இந்திர,ఇంద్ర,ಇಂದ್ರ
VYD,Vydruthihi,वैधृति,வைத்ருதி,వైధృతి,ವೈಧೃತಿ
